section,option_type,steps,binomial_price,black_scholes_price,absolute_error,paths,mc_price,standard_error,ci_lower,ci_upper,analytical_inside_ci,method,price,standard_error_reduction_pct,greek,analytical,finite_difference,relative_error
binomial_convergence,call,25.0,10.520965623983946,10.450583572185565,0.07038205179838108,,,,,,,,,,,,,
binomial_convergence,call,50.0,10.410691540732644,10.450583572185565,0.03989203145292031,,,,,,,,,,,,,
binomial_convergence,call,100.0,10.430611662249113,10.450583572185565,0.019971909936451482,,,,,,,,,,,,,
binomial_convergence,call,250.0,10.442588712621925,10.450583572185565,0.007994859563639878,,,,,,,,,,,,,
binomial_convergence,call,500.0,10.44658513644654,10.450583572185565,0.003998435739024586,,,,,,,,,,,,,
binomial_convergence,call,1000.0,10.448584103764572,10.450583572185565,0.001999468420992301,,,,,,,,,,,,,
monte_carlo_convergence,call,,,10.450583572185565,0.5182849671325549,1000.0,10.96886853931812,0.4855375322183111,10.017232463027774,11.920504615608465,True,,,,,,,
monte_carlo_convergence,call,,,10.450583572185565,0.18325745208650623,5000.0,10.633841024272071,0.21314738809858325,10.216079820200067,11.051602228344075,True,,,,,,,
monte_carlo_convergence,call,,,10.450583572185565,0.13193087377461055,10000.0,10.318652698410954,0.1462253736749867,10.032056232382068,10.60524916443984,True,,,,,,,
monte_carlo_convergence,call,,,10.450583572185565,0.01407293031109802,50000.0,10.464656502496663,0.06605189179212198,10.335197173473366,10.594115831519959,True,,,,,,,
monte_carlo_convergence,call,,,10.450583572185565,0.029383607833031178,100000.0,10.479967180018596,0.046573456936752744,10.388684881787034,10.571249478250158,True,,,,,,,
variance_reduction,call,,,,,,,0.04662319306457383,10.414351664834344,10.597111223335988,,plain,10.505731444085166,0.0,,,,
variance_reduction,call,,,,,,,0.033028025872054965,10.384861033908468,10.514328516287836,,antithetic,10.449594775098152,29.159665606105854,,,,
variance_reduction,call,,,,,,,0.0178348038268032,10.433087790533591,10.502998936877333,,control_variate_stock,10.468043363705462,61.74692753861426,,,,
greek_comparison,call,,,,8.274014806630703e-11,,,,,,,,,,delta,0.6368306511756191,0.636830651092879,1.299248833478176e-10
greek_comparison,call,,,,2.681132781068296e-10,,,,,,,,,,gamma,0.018762017345846895,0.018762017077733617,1.4290215874156964e-08
greek_comparison,call,,,,3.0448304499941514e-07,,,,,,,,,,vega,37.52403469169379,37.52403438721075,8.114347177778688e-09
greek_comparison,call,,,,4.919806784187131e-09,,,,,,,,,,theta,-6.414027546438197,-6.414027551358004,7.670386116316527e-10
greek_comparison,call,,,,7.941146407119959e-09,,,,,,,,,,rho,53.232481545376345,53.2324815374352,1.4917858751992953e-10
